Equipment_ID,Type,Age_in_years,Usage_hours_per_day,Last_Maintenance_Date,Breakdown_Count,Vibration_Index,Temperature_Score,Error_Log_Frequency,Maintenance_Needed
E0001,Ventilator,0,14.86,2025-06-23 17:52:38.904066,0,0.2,35.3,1,0
E0002,Ventilator,8,9.83,2025-05-18 17:52:38.904066,1,0.55,35.48,3,0
E0003,Ultrasound,10,5.76,2024-12-05 17:52:38.904066,0,0.68,41.65,1,1
E0004,MRI,1,0.01,2025-07-28 17:52:38.904066,2,0.11,35.89,0,0
E0005,MRI,7,16.02,2025-07-04 17:52:38.904066,0,0.05,67.74,2,1
E0006,ECG,0,5.33,2025-07-09 17:52:38.904066,0,0.48,24.24,2,0
E0007,Ventilator,9,14.95,2024-12-12 17:52:38.904066,1,0.52,52.86,2,1
E0008,Ultrasound,7,14.21,2025-03-03 17:52:38.904066,0,0.38,46.04,1,0
E0009,MRI,9,13.11,2024-12-30 17:52:38.904066,0,0.41,42.13,0,1
E0010,Ultrasound,9,9.08,2025-03-28 17:52:38.904066,1,0.5,32.55,1,1
E0011,Ultrasound,1,3.78,2025-01-19 17:52:38.904066,0,0.56,53.54,1,1
E0012,ECG,1,1.84,2025-03-05 17:52:38.904066,1,0.17,29.63,1,0
E0013,ECG,5,3.7,2025-03-02 17:52:38.904066,1,0.3,54.34,3,0
E0014,ECG,8,5.02,2025-03-02 17:52:38.904066,1,0.43,46.17,1,0
E0015,Ultrasound,10,9.51,2025-04-23 17:52:38.904066,1,0.51,26.7,1,1
E0016,Ventilator,7,0.05,2024-11-30 17:52:38.904066,1,0.31,68.29,0,1
E0017,Ultrasound,2,15.05,2025-03-19 17:52:38.904066,1,0.14,35.82,1,0
E0018,Ultrasound,7,11.95,2024-09-17 17:52:38.904066,0,0.71,22.42,1,1
E0019,ECG,12,7.37,2025-07-07 17:52:38.904066,1,0.36,40.64,3,1
E0020,Ultrasound,2,19.39,2024-12-26 17:52:38.904066,1,0.35,35.05,3,1
E0021,Ultrasound,9,15.33,2024-09-22 17:52:38.904066,0,0.59,41.99,1,1
E0022,MRI,5,3.56,2025-04-11 17:52:38.904066,3,0.42,26.93,4,1
E0023,MRI,4,18.16,2025-02-23 17:52:38.904066,0,0.66,26.45,2,1
E0024,Ultrasound,6,18.13,2025-06-26 17:52:38.904066,1,0.29,69.99,2,1
E0025,ECG,9,10.64,2024-11-18 17:52:38.904066,1,0.33,52.11,1,1
E0026,Ultrasound,2,3.42,2024-10-16 17:52:38.904066,1,0.12,41.32,1,1
E0027,ECG,2,9.75,2025-08-03 17:52:38.904066,1,0.7,44.54,1,1
E0028,Ultrasound,7,5.03,2024-10-15 17:52:38.904066,0,0.38,62.63,2,1
E0029,MRI,4,13.85,2025-05-06 17:52:38.904066,3,0.77,22.13,1,1
E0030,Ventilator,5,13.23,2024-09-01 17:52:38.904066,2,0.26,20.5,1,1
E0031,Ventilator,7,0.17,2024-09-19 17:52:38.904066,1,0.04,38.4,2,1
E0032,Ventilator,6,4.24,2025-03-04 17:52:38.904066,0,0.22,49.82,2,0
E0033,MRI,1,13.68,2025-07-11 17:52:38.904066,1,0.76,59.48,2,1
E0034,Ventilator,3,7.15,2025-01-10 17:52:38.904066,1,0.75,61.12,1,1
E0035,Ventilator,8,15.55,2025-06-18 17:52:38.904066,1,0.56,24.92,0,0
E0036,Ventilator,6,12.03,2025-08-05 17:52:38.904066,0,0.79,29.5,2,1
E0037,Ultrasound,5,17.85,2025-01-19 17:52:38.904066,0,0.74,51.29,2,1
E0038,Ventilator,5,18.23,2025-06-30 17:52:38.904066,3,0.39,40.93,2,1
E0039,ECG,11,0.29,2025-06-20 17:52:38.904066,0,0.18,53.38,1,1
E0040,Ventilator,4,14.16,2025-06-15 17:52:38.904066,1,0.53,20.95,1,0
E0041,Ventilator,3,10.99,2025-03-28 17:52:38.904066,0,0.09,66.97,0,1
E0042,MRI,0,10.1,2024-08-10 17:52:38.904066,1,0.3,68.1,3,1
E0043,ECG,5,19.52,2025-04-06 17:52:38.904066,2,0.72,33.13,3,1
E0044,Ventilator,9,11.55,2025-07-15 17:52:38.904066,0,0.76,27.85,2,1
E0045,Ventilator,0,6.15,2025-02-17 17:52:38.904066,0,0.59,48.21,0,0
E0046,Ventilator,5,13.21,2024-09-18 17:52:38.904066,0,0.18,55.2,1,1
E0047,Ventilator,6,0.96,2025-03-07 17:52:38.904066,1,0.23,68.65,3,1
E0048,Ventilator,0,4.08,2025-08-04 17:52:38.904066,0,0.6,52.93,3,0
E0049,MRI,2,12.27,2025-05-26 17:52:38.904066,3,0.58,22.81,0,1
E0050,Ultrasound,9,18.22,2025-04-27 17:52:38.904066,2,0.63,23.7,1,1
E0051,MRI,10,11.43,2024-11-10 17:52:38.904066,1,0.37,28.47,0,1
E0052,Ventilator,9,18.98,2024-11-20 17:52:38.904066,0,0.58,69.82,0,1
E0053,Ultrasound,3,4.9,2025-03-30 17:52:38.904066,2,0.57,55.96,0,0
